Tenor/Strike,-2.00%,-1.50%,-1.25%,-1.00%,-0.75%,-0.50%,-0.25%,ATM,0.00%,0.25%,0.50%,0.75%,1.00%,1.25%,1.50%,2.00%,2.50%,3.00%,3.50%,4.00%,4.50%,5.00%,5.50%,6.00%,6.50%,7.00%
1Y,175.42,167.29,167.66,164.64,161,158.43,155.64,73.14,152.77,148.88,144.55,140.3,137.77,133.79,129.66,120.91,111.42,100.99,89.18,74.71,59.64,65.71,73.15,78.62,88.77,90.35
2Y,178.45,174.7,172.62,170.47,168.11,165.68,163.14,106.5,157.76,154.92,151.97,148.93,148.93,145.79,142.54,135.75,128.51,120.77,112.42,103.48,98.59,106.36,114.52,121.99,138.87,136.87
3Y,182.03,176.41,173.5,170.49,167.34,164.27,160.96,109.96,154.29,134.29,133,130.78,129.02,127.25,125.49,122.01,118.59,115.19,111.66,108.07,107.66,114.9,122.64,130.22,145.55,145.59
4Y,137.93,135.35,133.99,132.2,131.18,129.72,128.28,110.22,126.83,125.38,123.95,122.54,121.18,119.86,118.61,116.32,114.37,112.73,111.29,110.16,111.67,118.52,125.84,133.14,140.51,147.95
5Y,133.79,131.05,129.25,127.45,126.88,125.28,123.59,121.17,121.92,118.52,117.28,116.1,117.28,116.1,115.01,113.12,111.66,110.65,110.03,109.89,111.94,117.97,124.39,130.84,135.38,140.66
6Y,129.52,126.89,125.55,124.2,122.85,121.51,120.18,118.88,117.61,116.38,115.2,114.09,113.06,112.11,110.55,109.46,108.88,108.77,109.19,111.49,116.95,122.75,128.61,134.04,140.66,137.35
7Y,124.88,122.5,121.24,119.94,118.83,117.64,116.45,115.28,114.45,113.06,112.04,111.07,110.13,109.29,108.13,107.36,106.11,107.33,108.11,110.91,115.91,120.89,126.76,133.73,137.82,135.17
8Y,122.58,120.21,119.01,117.81,116.61,115.43,114.27,113.13,112.04,110.99,110,109.08,108.25,107.51,106.38,105.76,105.67,106.11,107.13,109.6,114.3,119.31,124.46,129.76,135.17,133.02
9Y,120.66,118.31,117.13,115.93,114.74,113.58,112.43,111.32,110.24,109.22,108.28,107.37,106.57,105.86,104,104.27,104.29,104.87,106.09,108.52,112.97,117.74,122.88,127.79,133.03,131.28
10Y,119.64,117.24,116.03,114.79,113.58,112.39,111.24,110.11,108.98,107.94,106.93,106.06,105.25,104.54,103.68,103.04,103.3,103.68,104.87,107.44,111.32,116.12,121.33,126.41,131.28,128.45
12Y,118.5,115.76,114.49,113.22,111.93,110.71,109.5,108.51,107.38,106.09,105.08,104.14,103.3,102.56,101.46,100.92,101.08,101.71,103.08,105.55,109.34,113.94,118.57,123.43,128.45,125.15
15Y,117.47,114.72,113.33,112.05,110.82,109.23,107.93,106.78,105.38,104.2,103,102.06,101.12,100.29,99.56,98.56,98.56,99.04,100.43,102.89,106.66,111.86,115.7,120.17,125.15,122.06
20Y,117,113.91,112.36,110.81,109.27,107.67,106.27,104.82,103.42,102.07,100.8,99.61,98.53,97.56,96.03,95.15,95.03,95.69,97.17,99.68,103.36,107.56,112.13,116.78,121.52,119.68
25Y,117.19,110.19,108.69,107.19,105.71,104.21,102.81,101.38,99.98,98.76,97.45,96.4,95.45,94.45,93.19,92.19,92.34,93.19,94.81,96.85,99.58,103.32,109.86,114.67,119.68,117.88
30Y,108.2,105.52,104.17,102.83,101.5,100.2,98.92,97.68,96.49,95.36,94.31,93.34,92.47,91.73,90.66,90.24,90.56,91.65,93.49,96.19,99.83,103.92,108.35,113.03,117.88,117.88
